"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 26 16:37:07 UTC 2026","Sat Sep 26 16:37:08 UTC 2026","306","tests.products.api","test_get_products","","","","test_get_product_by_id","
Verify that a product can be retrieved successfully by ID.
"
"passed","Sat Sep 26 16:37:07 UTC 2026","Sat Sep 26 16:37:07 UTC 2026","340","tests.products.api","test_create_products","","","","test_create_single_simple_product","
Create a simple product using the minimum valid payload.

The fixture `create_valid_product` already performs:

    - POST /products
    - status code validation (201)
    - response structure validation (Pydantic)
    - cleanup registration

Test flow:

    1. Create a simple product
    2. Fetch product via API
    3. Verify API data matches database record
"
